Date,Service,Heading,content,Duration_in_Hours,Cost_of_club_in_Rs_For_Service _Projects_Only,Volunteer_hours_For_Service_Projects_Only,No_of_beneficieries_For_Service_Projects_Only,Value_to_beneficieries_in_Rs_For_Service_Projects_Only,Members,Guest_Rtns,Rotaractors,Family,Public,club_For_Service_Projects_Only,IMG
01-07-2023,Club Service,Members family Function,"We celebrated the Sastiapoorthy of our Past President and Senior member, Rtn. Ravisankar Sir. The grand celebration and lunch get-together at Grand Regent were a testament to the camaraderie that binds us. This project, which was a memorable event that honored the contributions of a distinguished member.",2 Hours,0,0,1,0,16,0,0,0,0,Club AdministrationFamily Meeting/Activity,1Members family Function
01-07-2023,Club Service,Bike ride trip to kanthaloor,"On part of international fellowship of motorcycling rotarians, our member who is secretary of bikers group organised a trip to kanthaloor. 20 Members with 6 bike and that jeep and van were part of event and we had a stay there for a day. We had a good fellowship with all members enjoying a trip",30 Hours,0,0,0,0,20,0,0,0,0,Club AdministrationTour program,1Members family Function
07-07-2023,Club Service,Monthly Regular Meeting,Monthly Regular Meeting at Heritage Inn Hotel.,2 Hours,0,0,0,0,40,0,0,0,3,Club Administration Regular Meeting,3Monthly Regular Meeting
16-07-2023,Club Service,Club New President Installtion Meeting,"New President, Secretary, and Board Installation for the FYI 2023-2024 at Hotel Grand Regent, Avinashi Road. Also we are sponsor school fees Rs. 16000 for the student N Vanathi, 7th Std, Premier Vidyya Matriculation higher secondary school, uliyampalayam.",5 Hours,16000,0,1,16000,5500,50,10,40,5,Club Administration Installation Meeting,4Club New President Installtion Meeting
10-08-2023,Club Service,Club Monthly Regular Meeting,Monthly Regular Meeting Under Club service,2 Hours,0,0,0,0,36,3,0,0,0,Club Administration Regular Meeting,5Club Monthly Regular Meeting
30-08-2023,Club Service,Joint Speaker Meeting,"Joint Club meeting with Rotary Club of Midtown, Rotary club of phoenix, Rotary club of Green city, Rotary club of town.",2 Hours,7500,0,75,7500,25,50,2,0,3,Club Administration Speaker Meeting,6Joint Speaker Meeting
08-09-2023,Club Service,AG CLUB ASSEMBLY MEETING,"We had our AG Rtn . Kumar visiting our club and getting introduced to our members . We had one new member induction Mr. Jawahar and also we had our club monthly bulletin released by our AG kumar , GGR and our member 
AG Sriramulu .",3 Hours,0,0,0,0,38,1,3,0,0,Club Administration Club Assembly with AG,7AG CLUB ASSEMBLY MEETING
08-09-2023,Club Service,Club Bulletin Release,"We had our club first bulletin and Our AG along with GGR and AG Sriramulu released bulletin to all members . Going forward planned to have bulletin every 
3 months.",1 Hours,4000,0,0,0,38,1,0,0,0,Club Administration Club Bulletin Release,8Club Bulletin Release
08-09-2023,Club Service,Rotaract installation Au university,Rotaract club of Avinashilingam institute for home science and higher education for women and president Sangeerane was inducted,4 Hours,0,0,0,0,4,0,3,0,0,Youth Service Rotaract Club Event/Activity/Meeting,9Rotaract installation Au university
11-09-2023,Club Service,Rotaract installation renata,Rotaract club of Sri Ramalinga Sowdambika college was organised and new president Sabareswari was inducted,3 Hours,0,0,0,0,2,0,30,0,0,Youth Service Rotaract Club Event/Activity/Meeting,9Rotaract installation Au university
22-09-2023,Club Service,Club officers Training seminar,We had our club officer training seminar with clusters club of our AG Rtn kumar and AG Rtn Sampath Velusamy . Total of 85 members from 8 clubs attended and we had seminar by 3 Zonal trainers .,3 Hours,10000,0,0,0,10,0,0,0,0,Club Administrationm Club Training,11Club officers Training seminar
12-10-2023,Club Service,Joint speaker meeting,We had joint club speaker meet with 5 club's combined and we had a speaker Rtn Karthikeyan an expert in cyber crime from rotary club of chennai north. 70 members were part of it and speaker gave good insights about crimes in cyber world and awareness for us to be followed,2 Hours,3000,0,0,0,11,0,0,0,0,Club Administration Speaker Meeting,12Joint speaker meeting
14-10-2023,Club Service,trekking to melmudi temple,Four of our members along with family had a trekking trip to melmudi hills. Perumal Temple will be open 4 times in a year and members with their sons had a fantastic experience.,5 Hours,0,0,0,0,4,0,2,0,0,Club Administration Tour program,13trekking to melmudi temple
